2,Ahikiwi,,Te Aranga Mai o te Whakapono,Tribal,173.728838,-35.791132,"202 Ahikiwi Rd., Maropiu, SH12, Kaihu Valley",Ngāti Whātua,Ngāti Hinga,,"F/S, TKM",Te Taitokerau,6018,"Ahikiwi | Te Aranga Mai o te Whakapono | Ngati Whatua | Ngati Hinga | 202 Ahikiwi Rd., Maropiu, SH12, Kaihu Valley | Te Taitokerau","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Ahikiwi - GIS_MID=2"">Send feedback on Ahikiwi</a>","<a href=""https://www.google.com/maps/place/-35.7911320000000,173.7288380000000/data=!3m1!1e3"">View location on Google Maps</a>"
3,Akerama,,Huiarau / Ruapekapeka,Tribal,174.166267046,-35.4864463618,"19 Haile Rd., Towai",Ngāpuhi,Ngāti Hau,,"F/S, TKM",Te Taitokerau,6218,"Akerama | Huiarau / Ruapekapeka | Ngapuhi | Ngati Hau | 19 Haile Rd., Towai | Te Taitokerau","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Akerama - GIS_MID=3"">Send feedback on Akerama</a>","<a href=""https://www.google.com/maps/place/-35.4864463617866,174.1662670460786/data=!3m1!1e3"">View location on Google Maps</a>"
696,Akura,,No wharenui,Tribal,175.643918,-40.931216,"142 Akura Rd., Masterton","Ngāti Kahungunu, Rangitāne","Ngāti Mātangiuru, Ngāti Te Ahuahu, Ngāti Te Hina",kahungunu.iwi.nz,"TKM, WWW",Ikaroa-Rāwhiti,4922,"Akura | No wharenui | Ngati Kahungunu, Rangitane | Ngati Matangiuru, Ngati Te Ahuahu, Ngati Te Hina | 142 Akura Rd., Masterton | Ikaroa-Rawhiti","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Akura - GIS_MID=696"">Send feedback on Akura</a>","<a href=""https://www.google.com/maps/place/-40.9312160000000,175.6439180000000/data=!3m1!1e3"">View location on Google Maps</a>"
988,Alfriston College,,,Institutional,174.91818,-37.018743,"550 Porchester Rd., Randwick Park, Manurewa",,,,"Pat Park, TKM",Tāmaki Makaurau,6315,"Alfriston College | 550 Porchester Rd., Randwick Park, Manurewa | Tamaki Makaurau","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Alfriston College - GIS_MID=988"">Send feedback on Alfriston College</a>","<a href=""https://www.google.com/maps/place/-37.0187430000000,174.9181800000000/data=!3m1!1e3"">View location on Google Maps</a>"
5,Aorangi,,Maniaihu,Tribal,175.58668,-40.246045,"6 Waughs Rd. (Near Aorangi Rd.), Fielding",Ngāti Raukawa ki te Tonga,Ngāti Kauwhata,,"F/S, TKM",Te Tai Hauāuru,5005,"Aorangi | Maniaihu | Ngati Raukawa ki te Tonga | Ngati Kauwhata | 6 Waughs Rd. (Near Aorangi Rd.), Fielding | Te Tai Hauauru","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Aorangi - GIS_MID=5"">Send feedback on Aorangi</a>","<a href=""https://www.google.com/maps/place/-40.2460450000000,175.5866800000000/data=!3m1!1e3"">View location on Google Maps</a>"
6,Aotearoa,,Hoturoa / Rangikawa,Tribal,175.580349,-38.191005,"404 Aotearoa Rd., Wharepapa South","Raukawa, Waikato","Ngāti Korokī, Ngāti Raukawa ki Panehākua, Ngāti Takihiku","whakapapa.maori.org.nz, Otorohanga DC","F/S, MFish, TKM, WWW",Waikato-Waiariki,5115,"Aotearoa | Hoturoa / Rangikawa | Raukawa, Waikato | Ngati Koroki, Ngati Raukawa ki Panehakua, Ngati Takihiku | 404 Aotearoa Rd., Wharepapa South | Waikato-Waiariki","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Aotearoa - GIS_MID=6"">Send feedback on Aotearoa</a>","<a href=""https://www.google.com/maps/place/-38.1910050000000,175.5803490000000/data=!3m1!1e3"">View location on Google Maps</a>"
7,Aotearoa,,Ngākaunui,Tribal,174.223121,-39.51654,"63 Hastings Rd., Ōkaiawa",Ngāruahine,Ōkahu - Inuāwai,"whakapapa.maori.org.nz, Taranaki Regional Council","F/S, MFish, TKM, WWW",Te Tai Hauāuru,4940,"Aotearoa | Ngakaunui | Ngaruahine | Okahu - Inuawai | 63 Hastings Rd., Okaiawa | Te Tai Hauauru","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Aotearoa - GIS_MID=7"">Send feedback on Aotearoa</a>","<a href=""https://www.google.com/maps/place/-39.5165400000000,174.2231210000000/data=!3m1!1e3"">View location on Google Maps</a>"
1033,Aotearoa Institute,,Taiwere,Institutional,176.234949,-38.127411,"Te Wananga o Aotearoa, Te Kuratini o Nga Waka, 1 Dinsdale St., Rotorua",,,,"Pat Park, TKM",Waikato-Waiariki,6353,"Aotearoa Institute | Taiwere | Te Wananga o Aotearoa, Te Kuratini o Nga Waka, 1 Dinsdale St., Rotorua | Waikato-Waiariki","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Aotearoa Institute - GIS_MID=1033"">Send feedback on Aotearoa Institute</a>","<a href=""https://www.google.com/maps/place/-38.1274110000000,176.2349490000000/data=!3m1!1e3"">View location on Google Maps</a>"
8,Apumoana,,Apumoana o te Ao Kohatu,Tribal,176.277866,-38.149336,"27 Tarawera Rd., Ngapuna, Rotorua",Tūhourangi,"Hurunga Te Rangi, Ngāti Kahupoko, Ngāti Taeotu, Ngāti Tumatawera",whakapapa.maori.org.nz,"EBOP, F/S, TKM, WWW",Waikato-Waiariki,5647,"Apumoana | Apumoana o te Ao Kohatu | Tuhourangi | Hurunga Te Rangi, Ngati Kahupoko, Ngati Taeotu, Ngati Tumatawera | 27 Tarawera Rd., Ngapuna, Rotorua | Waikato-Waiariki","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Apumoana - GIS_MID=8"">Send feedback on Apumoana</a>","<a href=""https://www.google.com/maps/place/-38.1493360000000,176.2778660000000/data=!3m1!1e3"">View location on Google Maps</a>"
9,Aputerewa,,Te Puna Roimata,Tribal,173.53391,-35.027984,"310 Backriver Rd. Kenana, Mangōnui",Ngāti Kahu,Ngāti Takiora / Ngāi Tauurutakaware,,TKM,Te Taitokerau,4603,"Aputerewa | Te Puna Roimata | Ngati Kahu | Ngati Takiora / Ngai Tauurutakaware | 310 Backriver Rd. Kenana, Mangonui | Te Taitokerau","<a href=""mailto:tpkmaps@tpk.govt.nz?subject=Feedback on Aputerewa - GIS_MID=9"">Send feedback on Aputerewa</a>","<a href=""https://www.google.com/maps/place/-35.0279840000000,173.5339100000000/data=!3m1!1e3"">View location on Google Maps</a>"
